voter_party,New_party_name
-,-
กล้าธรรม,กล้าธรรม
กลาธรรม  ู,กล้าธรรม
กลาธรรม 0,กล้าธรรม
พรรคกลาธรรม,กล้าธรรม
พรรคกล้าธรรม,กล้าธรรม
พรรคกล้าธรรม์,กล้าธรรม
พรรคกล้าธรรม ^x,กล้าธรรม
พรรคกล้าธรรม a,กล้าธรรม
พรรคกลาธรรม aู,กล้าธรรม
พรรคกล้าธรรม aู,กล้าธรรม
พรรคกลาธรรม xู,กล้าธรรม
พรรคกลาธรรม),กล้าธรรม
พรรคกล้าธรรม),กล้าธรรม
พรรคกลาธรรม^,กล้าธรรม
พรรคกล้าธรรม^,กล้าธรรม
พรรคกลาธรรม^๖,กล้าธรรม
พรรคกลาธรรมคb,กล้าธรรม
พรรคกล้าธรรมง,กล้าธรรม
ครูไทยเพื่อประชาชน,ครูไทยเพื่อประชาชน
ชาติไทยพัฒนา,ชาติไทยพัฒนา
พรรคชาติไทย£พัฒนา,ชาติไทยพัฒนา
พรรคชาติไทยพัฒนา,ชาติไทยพัฒนา
ชาติพัฒนา,ชาติพัฒนา
พรรคชาติพัฒนา,ชาติพัฒนา
"พรรคชาติพัฒนา j""",ชาติพัฒนา
พรรคชาติพัฒนาู๖ ,ชาติพัฒนา
ชาติพัฒนากล้า,ชาติพัฒนากล้า
ท้องที่ไทย,ท้องที่ไทย
ไทยก้าวหน้า,ไทยก้าวหน้า
พรรคไทยก้าวหน้า,ไทยก้าวหน้า
ไทยสร้างไทย,ไทยสร้างไทย
พรรคไทยสรางไทย,ไทยสร้างไทย
พรรคไทยสร้างไทย,ไทยสร้างไทย
พรรคไทยสรางไทย |,ไทยสร้างไทย
พรรคไทยสร้างไทย |๖,ไทยสร้างไทย
พรรคไทยสร้างไทย c0,ไทยสร้างไทย
ไทรวมพลัง,ไทรวมพลัง
พรรคไทรวมพลัง,ไทรวมพลัง
ก้าวไกล,ประชาชน
ทรรคประขาชน,ประชาชน
ประชาชน,ประชาชน
พรรคประชาชน,ประชาชน
พรรคประชาชน์,ประชาชน
ประชาชาติ,ประชาชาติ
พรรคประชาชาติ,ประชาชาติ
ประชาธิปไตยใหม่,ประชาธิปไตยใหม่
พรรคประชาธิปไตยใหม่,ประชาธิปไตยใหม่
ประชาธิปัตย์,ประชาธิปัตย์
พรรคประชาธิปัตย,ประชาธิปัตย์
พรรคประชาธิปัตย์,ประชาธิปัตย์
พรรคประชาธิปัตย์ t,ประชาธิปัตย์
พรรคประชาธิปัตย์ า,ประชาธิปัตย์
พรรคประชาธิปัตย์£,ประชาธิปัตย์
พรรคประชาธิปัตย์£|x,ประชาธิปัตย์
เป็นธรรม,เป็นธรรม
พรรคเป็นธรรม,เป็นธรรม
พรรคพลังประชารัฐ,พลังประชารัฐ
พลังประชารัฐ,พลังประชารัฐ
พลังสังคมใหม่,พลังสังคมใหม่
พรรคเพื่อไทย,เพื่อไทย
พรรคเพื่อไทย์,เพื่อไทย
พรรคเพื่อไทย ,เพื่อไทย
พรรคเพื่อไทย_,เพื่อไทย
"พรรคเพื่อไทย,",เพื่อไทย
พรรคเพื่อไทย.,เพื่อไทย
พรรคเพื่อไทย..,เพื่อไทย
พรรคเพื่อไทยง,เพื่อไทย
พรรคเพื่อไทยบ,เพื่อไทย
เพื่อไทย,เพื่อไทย
เพื่อไทรวมพลัง,เพื่อไทรวมพลัง
พรรคภูมิใจไทย,ภูมิใจไทย
พรรคภูมิใจไทย ๔,ภูมิใจไทย
พรรคภูมิใจไทย ๖๖,ภูมิใจไทย
พรรคภูมิใจไทย c,ภูมิใจไทย
พรรคภูมิใจไทย xc,ภูมิใจไทย
พรรคภูมิใจไทย yp,ภูมิใจไทย
พรรคภูมิใจไทย),ภูมิใจไทย
พรรคภูมิใจไทย^|,ภูมิใจไทย
พรรคภูมิใจไทย^l,ภูมิใจไทย
พรรคภูมิใจไทย๔,ภูมิใจไทย
พรรคภูมิใจไทยc,ภูมิใจไทย
พรรคภูมิใจไทยxc,ภูมิใจไทย
พรรคภูมิใจไทย่ง,ภูมิใจไทย
ภูมิใจไทย,ภูมิใจไทย
ภูมิใจไทย yp,ภูมิใจไทย
พรรครวมไทยสรางชาติ,รวมไทยสร้างชาติ
พรรครวมไทยสร้างชาติ,รวมไทยสร้างชาติ
รวมไทยสร้างชาติ,รวมไทยสร้างชาติ
 สมาชกวุฒิสภา,สมาชิกวุฒิสภา
 สมาชิกวุฒิสภา,สมาชิกวุฒิสภา
 สม่าชิกวุฒิสภา,สมาชิกวุฒิสภา
 สมาชิกวุฒิสภา.,สมาชิกวุฒิสภา
.สมาชิกวุฒิสภา,สมาชิกวุฒิสภา
สมาชกวุฒสภา,สมาชิกวุฒิสภา
สมาชกวุฒิสภา,สมาชิกวุฒิสภา
สมาชิก£วุฒิสภา,สมาชิกวุฒิสภา
สมาชิกวุฒิสภา,สมาชิกวุฒิสภา
สมาชิกวุฒิสภา ,สมาชิกวุฒิสภา
สมาชิกวุฒิสภาak,สมาชิกวุฒิสภา
สมาชิกวุฒิสภาc,สมาชิกวุฒิสภา
สมาชิกวุฒิสภาง,สมาชิกวุฒิสภา
สมาชิกวุฒิสภาง),สมาชิกวุฒิสภา
สมาธิกวุฒิสภา,สมาชิกวุฒิสภา
สมาิกวุฒิสภา,สมาชิกวุฒิสภา
พรรคเสรีรวมไทย,เสรีรวมไทย
เสรีรวมไทย,เสรีรวมไทย
ใหม่,ใหม่
อ9,